


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
                 1  400.0000000000   0.31894332    
                 2  399.9511718750   0.31894367    
                 3  399.9023437500   0.31894402    
                 4  399.8535156250   0.31894436    
                 5  399.8046875000   0.31894471    
                 6  399.7558593750   0.31894506    
                 7  399.7070312500   0.31894541    
                 8  399.6582031250   0.31894575    
                 9  399.6093750000   0.31894610    
                10  399.5605468750   0.31894645    
                11  399.5117187500   0.31894680    
                12  399.4628906250   0.31894715    
                13  399.4140625000   0.31894749    
                14  399.3652343750   0.31894784    
                15  399.3164062500   0.31894819    
                16  399.2675781250   0.31894854    
                17  399.2187500000   0.31894889    
                18  399.1699218750   0.31894924    
                19  399.1210937500   0.31894959    
                20  399.0722656250   0.31894994    
                21  399.0234375000   0.31895030    
                22  398.9746093750   0.31895065    
                23  398.9257812500   0.31895100    
                24  398.8769531250   0.31895135    
                25  398.8281250000   0.31895170    
                26  398.7792968750   0.31895205    
                27  398.7304687500   0.31895241    
                28  398.6816406250   0.31895276    
                29  398.6328125000   0.31895311    
                30  398.5839843750   0.31895347    
                31  398.5351562500   0.31895382    
                32  398.4863281250   0.31895417    
                33  398.4375000000   0.31895453    
                34  398.3886718750   0.31895488    
                35  398.3398437500   0.31895524    
                36  398.2910156250   0.31895559    
                37  398.2421875000   0.31895595    
                38  398.1933593750   0.31895630    
                39  398.1445312500   0.31895666    
                40  398.0957031250   0.31895702    
                41  398.0468750000   0.31895737    
                42  397.9980468750   0.31895773    
                43  397.9492187500   0.31895809    
                44  397.9003906250   0.31895844    
                45  397.8515625000   0.31895880    
                46  397.8027343750   0.31895916    
                47  397.7539062500   0.31895952    
                48  397.7050781250   0.31895988    
                49  397.6562500000   0.31896024    
                50  397.6074218750   0.31896059    
                51  397.5585937500   0.31896095    
                52  397.5097656250   0.31896131    
                53  397.4609375000   0.31896167    
                54  397.4121093750   0.31896203    
                55  397.3632812500   0.31896239    
                56  397.3144531250   0.31896275    
                57  397.2656250000   0.31896311    
                58  397.2167968750   0.31896348    
                59  397.1679687500   0.31896384    
                60  397.1191406250   0.31896420    
                61  397.0703125000   0.31896456    
                62  397.0214843750   0.31896492    
                63  396.9726562500   0.31896529    
                64  396.9238281250   0.31896565    
                65  396.8750000000   0.31896601    
                66  396.8261718750   0.31896638    
                67  396.7773437500   0.31896674    
                68  396.7285156250   0.31896710    
                69  396.6796875000   0.31896747    
                70  396.6308593750   0.31896783    
                71  396.5820312500   0.31896820    
                72  396.5332031250   0.31896856    
                73  396.4843750000   0.31896893    
                74  396.4355468750   0.31896929    
                75  396.3867187500   0.31896966    
                76  396.3378906250   0.31897003    
                77  396.2890625000   0.31897039    
                78  396.2402343750   0.31897076    
                79  396.1914062500   0.31897113    
                80  396.1425781250   0.31897149    
                81  396.0937500000   0.31897186    
                82  396.0449218750   0.31897223    
                83  395.9960937500   0.31897260    
                84  395.9472656250   0.31897297    
                85  395.8984375000   0.31897333    
                86  395.8496093750   0.31897370    
                87  395.8007812500   0.31897407    
