


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
                 1  400.0000000000   0.31898090    
                 2  399.9511718750   0.31898127    
                 3  399.9023437500   0.31898165    
                 4  399.8535156250   0.31898202    
                 5  399.8046875000   0.31898240    
                 6  399.7558593750   0.31898278    
                 7  399.7070312500   0.31898315    
                 8  399.6582031250   0.31898353    
                 9  399.6093750000   0.31898391    
                10  399.5605468750   0.31898429    
                11  399.5117187500   0.31898467    
                12  399.4628906250   0.31898504    
                13  399.4140625000   0.31898542    
                14  399.3652343750   0.31898580    
                15  399.3164062500   0.31898618    
                16  399.2675781250   0.31898656    
                17  399.2187500000   0.31898694    
                18  399.1699218750   0.31898732    
                19  399.1210937500   0.31898770    
                20  399.0722656250   0.31898808    
                21  399.0234375000   0.31898846    
                22  398.9746093750   0.31898884    
                23  398.9257812500   0.31898923    
                24  398.8769531250   0.31898961    
                25  398.8281250000   0.31898999    
                26  398.7792968750   0.31899037    
                27  398.7304687500   0.31899075    
                28  398.6816406250   0.31899114    
                29  398.6328125000   0.31899152    
                30  398.5839843750   0.31899190    
                31  398.5351562500   0.31899229    
                32  398.4863281250   0.31899267    
                33  398.4375000000   0.31899306    
                34  398.3886718750   0.31899344    
                35  398.3398437500   0.31899383    
                36  398.2910156250   0.31899421    
                37  398.2421875000   0.31899460    
                38  398.1933593750   0.31899498    
                39  398.1445312500   0.31899537    
                40  398.0957031250   0.31899576    
                41  398.0468750000   0.31899614    
                42  397.9980468750   0.31899653    
                43  397.9492187500   0.31899692    
                44  397.9003906250   0.31899731    
                45  397.8515625000   0.31899770    
                46  397.8027343750   0.31899808    
                47  397.7539062500   0.31899847    
                48  397.7050781250   0.31899886    
                49  397.6562500000   0.31899925    
                50  397.6074218750   0.31899964    
                51  397.5585937500   0.31900003    
                52  397.5097656250   0.31900042    
                53  397.4609375000   0.31900081    
                54  397.4121093750   0.31900120    
                55  397.3632812500   0.31900159    
                56  397.3144531250   0.31900199    
                57  397.2656250000   0.31900238    
                58  397.2167968750   0.31900277    
                59  397.1679687500   0.31900316    
                60  397.1191406250   0.31900355    
                61  397.0703125000   0.31900395    
                62  397.0214843750   0.31900434    
                63  396.9726562500   0.31900473    
                64  396.9238281250   0.31900513    
                65  396.8750000000   0.31900552    
                66  396.8261718750   0.31900592    
                67  396.7773437500   0.31900631    
                68  396.7285156250   0.31900671    
                69  396.6796875000   0.31900710    
                70  396.6308593750   0.31900750    
                71  396.5820312500   0.31900789    
                72  396.5332031250   0.31900829    
                73  396.4843750000   0.31900869    
                74  396.4355468750   0.31900908    
                75  396.3867187500   0.31900948    
                76  396.3378906250   0.31900988    
                77  396.2890625000   0.31901028    
                78  396.2402343750   0.31901067    
                79  396.1914062500   0.31901107    
                80  396.1425781250   0.31901147    
                81  396.0937500000   0.31901187    
                82  396.0449218750   0.31901227    
                83  395.9960937500   0.31901267    
                84  395.9472656250   0.31901307    
                85  395.8984375000   0.31901347    
                86  395.8496093750   0.31901387    
                87  395.8007812500   0.31901427    
